,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,A Indx,density,pH,sulphates,Vit Indx,quality,Type
3790,6.8,0.26,0.56,very_high,0.043,64,226,15.51483567,0.997,3.02,medium,very_low,low,Lemon_Juice
3791,6.6,0.84,0.03,,0.059,32,48,14.30433779,0.9952,3.52,medium,high,high,Orange_Juice
3792,6.1,0.32,0.25,low,0.071,23,58,13.86898818,0.99633,3.42,medium,low,low,Orange_Juice
3793,7.1,,0.29,very_high,0.024,22,142,16.27049296,0.99518,,low,medium,high,Lemon_Juice
3794,11.9,0.38,0.49,low,0.098,12,42,26.55045103,1.0004,3.16,medium,low,low,Orange_Juice
3795,7.5,0.705,0.1,very_high,0.044,44,214,15.78825413,,3.1,low,very_low,low,Lemon_Juice
3796,7.1,0.55,0.13,very_low,0.073,21,165,14.73792116,0.994,2.97,medium,very_low,high,Lemon_Juice
3797,7.3,0.32,0.35,very_low,0.05,8,163,15.94103879,0.99244,3.24,low,low,low,Lemon_Juice
3798,6.6,,0.25,high,0.036,21,124,14.78540879,0.99362,3.06,low,medium,high,Lemon_Juice
3799,6.7,,0.37,very_low,0.036,45,125,14.88144263,0.98964,3.19,medium,high,high,Lemon_Juice
3800,5.6,,0.05,low,0.073,19,25,12.02452267,0.99258,3.56,medium,high,low,Orange_Juice
3801,7.1,0.31,0.47,very_high,,54,197,16.25447418,0.9978,3.1,low,very_low,low,Lemon_Juice
3802,6.8,0.63,0.04,very_low,0.058,25,133,15.08819672,0.99271,3.17,low,low,low,Lemon_Juice
3803,7.6,0.23,0.26,very_high,0.067,32,166,16.56890557,0.9986,3.03,low,very_low,low,
3804,7.1,0.28,0.26,very_low,0.049,12,86,15.99016754,0.9934,3.15,low,low,low,Lemon_Juice
3805,5.9,0.61,0.08,low,0.071,16,24,12.5185228,,3.56,medium,medium,high,Orange_Juice
3806,6.9,0.26,0.29,medium,0.043,33,114,15.54292149,0.9902,3.16,low,high,high,Lemon_Juice
3807,7.4,0.49,0.27,low,0.071,14,25,16.80853352,0.99388,3.35,medium,medium,high,
3808,6.2,0.36,0.14,very_high,0.036,38,155,13.47940186,0.99622,3.27,low,low,low,Lemon_Juice
3809,11.6,0.41,0.54,very_low,0.095,22,41,26.42864754,0.99735,3.02,medium,low,high,Orange_Juice
3810,6.6,0.38,0.36,very_high,0.061,42,214,14.56441837,0.9976,3.31,medium,low,,Lemon_Juice
3811,,0.615,0.42,very_high,0.067,24,131,16.31134197,,3.19,low,very_low,low,
3812,6.5,0.22,0.31,low,0.046,,106,14.52617595,0.99098,3.15,low,medium,low,Lemon_Juice
3813,6.5,0.21,0.28,very_low,0.046,,66,14.35342908,,3.43,low,medium,high,Lemon_Juice
3814,6.1,0.3,0.3,low,0.031,50,163,13.44140717,0.9895,3.39,low,high,high,
3815,,0.67,0.39,very_low,0.054,6,17,22.72759669,0.9976,3.17,low,low,low,Orange_Juice
3816,4.2,0.215,0.23,medium,0.041,64,,9.379333998,0.99688,3.42,low,very_low,low,Lemon_Juice
3817,6.3,0.29,0.4,high,0.039,43,167,,0.9953,3.15,low,very_low,high,Lemon_Juice
3818,6.5,,0.49,high,0.045,16,169,15.55983115,0.9957,3.11,low,very_low,high,Lemon_Juice
3819,7.2,0.26,0.32,very_high,0.062,23,114,16.04813725,0.9966,3.23,low,low,low,Lemon_Juice
3820,6.3,0.3,0.34,very_low,0.049,14,132,14.54111623,0.994,3.3,low,low,high,Lemon_Juice
3821,5.7,0.28,0.3,low,0.026,,105,12.80054677,0.98963,3.26,medium,high,high,Lemon_Juice
3822,7.1,0.26,0.34,,0.067,35,189,16.30796789,0.9986,3.07,medium,very_low,high,Lemon_Juice
3823,6.6,0.2,0.14,,0.184,35,168,14.22238682,0.99396,2.93,low,low,high,Lemon_Juice
3824,6.9,0.25,0.33,very_low,,35,158,,0.99082,3.02,,medium,high,Lemon_Juice
3825,7.2,0.38,0.3,very_low,,31,,15.37845036,0.99685,3.42,medium,low,high,Orange_Juice
3826,6.2,0.2,0.49,very_low,0.065,17,143,14.79315552,0.9937,3.22,medium,very_low,high,Lemon_Juice
3827,9.2,0.52,1,low,0.61,32,69,22.32384,0.9996,2.74,very_high,low,low,Orange_Juice
3828,5.9,0.29,0.25,very_high,0.057,48,224,12.75861049,0.9981,3.23,,very_low,high,
3829,5.6,0.35,0.4,high,0.022,23,174,13.2171926,0.9922,3.54,low,medium,high,Lemon_Juice
3830,6.7,0.25,0.23,high,0.038,61,220,14.64116079,0.9952,3.14,low,low,low,Lemon_Juice
3831,6.8,0.26,0.22,high,0.047,57,210,14.85640684,0.9959,3.1,low,very_low,low,Lemon_Juice
3832,11.9,0.695,0.53,low,0.128,7,21,26.76359104,0.9992,3.17,medium,high,high,Orange_Juice
3833,10.7,0.52,0.38,low,0.066,29,56,23.17168704,0.99577,3.15,medium,medium,high,Orange_Juice
3834,8.2,0.28,0.6,low,0.104,10,22,,0.99828,3.39,medium,low,low,Orange_Juice
3835,10.8,0.26,0.45,low,,20,49,23.76747888,0.9972,3.13,medium,low,low,Orange_Juice
3836,8.9,0.33,0.32,very_low,0.047,11,200,20.21905323,0.9954,3.19,low,low,low,Lemon_Juice
3837,6.3,0.2,0.3,medium,0.034,,152,14.17894606,0.99642,3.47,low,very_low,high,Lemon_Juice
3838,,0.24,0.23,high,0.069,31,157,13.95051279,0.9962,3.25,medium,very_low,,Lemon_Juice
3839,7.3,0.695,0,low,0.075,3,13,15.31199456,0.998,3.49,medium,very_low,low,Orange_Juice
3840,7.5,0.23,0.29,low,0.031,24,98,15.81521281,0.99194,3,medium,medium,high,Lemon_Juice
3841,6.8,0.3,0.27,very_high,0.028,22,97,15.20214258,0.99314,2.96,low,medium,high,Lemon_Juice
3842,7,0.24,0.3,medium,0.04,41,213,14.80109791,0.9927,3.28,low,medium,high,Lemon_Juice
3843,6.6,0.38,0.15,medium,0.044,25,78,14.45313387,0.9931,3.11,low,low,high,Lemon_Juice
3844,5.8,,0.23,medium,0.053,29,106,13.08489969,0.99458,3.13,medium,very_low,low,
3845,7.2,,0.49,very_low,0.05,18,148,16.37859845,0.9945,3.46,low,low,high,Lemon_Juice
3846,6.8,0.56,0.22,very_low,0.074,,24,15.10842023,0.99438,3.4,medium,medium,high,Orange_Juice
3847,6.5,0.425,0.4,very_high,0.038,59,241,14.68429692,0.9979,3.23,medium,very_low,low,Lemon_Juice
3848,5.8,0.17,0.36,very_low,0.036,11,70,13.40547988,0.99202,,,low,high,
3849,6.7,0.33,0.34,high,0.036,39,124,14.55336726,0.99123,,low,high,,Lemon_Juice
3850,6,0.27,0.32,low,0.035,36,133,13.68632739,0.99215,3.23,low,medium,high,Lemon_Juice
3851,9.2,0.23,0.35,very_high,0.037,34,145,20.52007149,0.9981,,low,low,low,Lemon_Juice
3852,7.3,0.25,0.36,low,0.034,30,177,16.25545125,0.99085,3.25,low,medium,high,Lemon_Juice
3853,6.2,0.255,0.24,very_low,0.039,138.5,272,13.74207065,0.99452,3.53,medium,low,low,
3854,6.8,0.24,0.33,low,0.049,68,161,15.50168573,0.99324,3.1,medium,low,high,Lemon_Juice
3855,6.1,0.38,0.14,low,0.06,27,113,12.95607153,0.99344,3.07,low,very_low,low,Lemon_Juice
3856,7.7,0.28,0.35,very_high,0.056,31,117,16.71553838,0.9998,3.27,low,low,low,Lemon_Juice
3857,7.3,0.3,0.74,very_high,0.039,46,165,16.80889379,0.9982,3.02,low,very_low,low,Lemon_Juice
3858,5.7,0.32,0.5,low,0.049,17,155,13.34385011,0.9927,3.22,medium,low,high,Lemon_Juice
3859,6.5,0.29,0.53,very_low,0.04,41,192,15.5881293,0.9922,3.26,medium,low,high,Lemon_Juice
3860,7.6,0.2,0.36,very_low,0.043,24,111,16.20302803,0.99237,3.29,medium,medium,,Lemon_Juice
3861,7.2,0.21,0.35,very_high,0.048,35,178,16.1946185,0.9982,3.05,low,very_low,high,Lemon_Juice
3862,7.6,0.26,0.36,very_low,0.032,6,106,17.15084389,0.993,3.15,low,low,low,Lemon_Juice
3863,6.2,0.18,0.38,,0.028,36,117,13.5972281,0.993,,medium,low,,Lemon_Juice
3864,7.1,0.2,0.37,very_low,0.049,28,129,15.44997162,0.99226,3.15,medium,medium,low,Lemon_Juice
3865,7.9,0.32,,very_low,0.341,17,56,17.59917857,0.9969,3.04,high,very_low,,Orange_Juice
3866,10,0.2,0.39,very_low,0.05,,152,21.74485449,,3,low,low,high,Lemon_Juice
3867,6.2,0.37,0.24,high,0.032,19,86,12.83822101,0.98934,3.04,low,high,,Lemon_Juice
3868,6.7,0.27,0.25,high,0.053,54,202,14.8393877,,3.22,low,very_low,low,Lemon_Juice
3869,6.6,0.33,0.32,very_high,0.054,62,227,15.02018428,0.99734,3.25,medium,low,low,Lemon_Juice
3870,,0.28,0.32,very_low,0.038,27,128,15.73064125,0.99375,3.2,medium,low,high,
3871,6.5,0.22,0.34,very_high,0.053,55,177,14.23740538,0.9983,,low,low,high,Lemon_Juice
3872,6.7,0.34,0.43,very_low,0.041,29,114,16.0221499,0.99014,,low,high,high,Lemon_Juice
3873,7,0.6,0.12,low,0.083,13,28,,0.9966,3.52,medium,,high,Orange_Juice
3874,8.2,0.23,,very_low,0.069,9,17,17.93558724,0.99376,,medium,high,high,Orange_Juice
3875,7.2,0.2,0.61,very_high,0.043,14,103,16.90542627,0.9987,3.06,low,very_low,high,Lemon_Juice
3876,,0.17,0.29,low,0.03,,123,13.01884774,0.98913,3.41,low,very_high,high,Lemon_Juice
3877,6.2,0.24,0.29,very_high,0.039,49,130,13.81685533,0.9952,3.33,low,medium,high,Lemon_Juice
3878,8,0.24,0.36,very_low,0.047,17,129,17.96487313,0.9948,3.2,medium,low,high,Lemon_Juice
3879,7.3,0.58,0.3,low,0.074,,55,,0.9968,3.46,medium,low,low,Orange_Juice
3880,6.1,0.15,0.29,high,,39,151,13.72005664,0.99471,3.6,low,low,high,
3881,9.1,0.29,0.33,,0.063,13,,19.04398275,,3.26,medium,medium,high,Orange_Juice
3882,6.9,0.45,0.11,low,0.043,,12,14.54550577,0.99354,3.3,medium,medium,high,
3883,8.6,0.315,0.4,low,0.079,3,6,19.46721877,0.99512,3.27,medium,medium,high,Orange_Juice
3884,6.8,0.815,0,very_low,0.267,16,29,15.35292551,0.99471,3.32,medium,low,low,Orange_Juice
3885,8.3,,0.25,low,0.118,9,38,17.8748094,0.99616,3.15,medium,low,low,Orange_Juice
3886,11.7,0.28,0.47,very_low,0.054,17,32,25.24266645,0.99686,3.15,medium,low,high,Orange_Juice
3887,6.6,0.24,0.28,very_low,0.028,39,132,14.99909218,0.99182,3.34,low,medium,low,Lemon_Juice
3888,10,0.23,0.27,very_high,0.033,45,166,21.97416224,0.9988,2.72,low,low,high,Lemon_Juice
3889,7.6,0.3,0.42,very_low,0.052,6,24,16.91701562,0.9963,3.44,medium,medium,high,Orange_Juice
3890,7.6,0.19,0.42,very_low,0.044,6,114,16.67009798,0.9914,3.04,medium,high,high,Lemon_Juice
3891,7.2,,0.19,high,0.044,51,172,15.52174743,0.9964,3.16,low,very_low,low,Lemon_Juice
3892,7.2,0.34,0.3,very_high,0.051,40,,16.05345422,0.99756,3.48,medium,low,low,Lemon_Juice
3893,6.8,0.68,0.09,low,0.068,15,29,14.56022355,0.99524,3.41,medium,medium,low,Orange_Juice
3894,5.7,0.26,0.25,very_high,0.02,7,57,12.8269624,0.994,3.39,low,low,low,Lemon_Juice
3895,8.1,0.28,0.4,high,0.05,30,97,17.78270122,0.9951,3.26,low,low,high,
3896,6.1,0.38,0.15,very_low,0.072,6,19,13.2206615,0.9955,3.42,medium,low,low,Orange_Juice
3897,7.2,0.53,0.13,very_low,0.058,18,22,15.41060418,0.99573,3.21,medium,low,,Orange_Juice
3898,7.7,0.715,0.01,low,0.064,31,43,15.84155989,0.99371,3.41,medium,medium,high,
3899,9.2,0.58,0.2,low,0.081,15,115,19.7071368,0.998,3.23,medium,low,low,Orange_Juice
3900,6,0.26,,low,0.029,48,180,13.77069255,0.99011,3.15,low,,high,Lemon_Juice
3901,8,0.27,0.33,very_low,0.05,,103,17.65582511,0.99002,3,low,high,high,Lemon_Juice
3902,6.1,0.44,0.28,medium,0.032,43,132,13.98494359,0.9916,3.26,low,medium,high,Lemon_Juice
3903,6.8,0.33,0.44,high,0.05,29,155,15.63448105,0.9955,,low,low,low,Lemon_Juice
3904,5.7,0.22,0.22,very_high,0.044,39,110,11.93970661,0.99855,3.24,low,very_low,high,Lemon_Juice
3905,8.7,0.69,,low,0.086,23,,19.43770071,1.0002,3.48,medium,medium,,Orange_Juice
3906,6.7,0.27,,low,0.043,61,181,14.35772644,0.99394,3.45,medium,low,high,Lemon_Juice
3907,7.9,0.24,0.4,very_low,0.056,11,25,17.39272309,0.9967,3.32,medium,very_low,high,Orange_Juice
3908,14.3,0.31,0.74,very_low,0.075,6,15,31.98935212,1.0008,2.86,medium,very_low,high,Orange_Juice
3909,5.5,0.18,0.22,medium,,10,86,11.86507159,0.99156,3.46,low,high,low,Lemon_Juice
3910,,0.33,,very_high,0.053,35,176,17.12419041,1.0103,3.15,low,very_low,high,Lemon_Juice
3911,5.6,0.26,0.18,very_low,0.034,18,135,12.45872146,0.99174,3.32,low,low,high,Lemon_Juice
3912,,0.3,0.38,low,0.043,10,98,17.54798201,0.99296,3.17,medium,medium,low,Lemon_Juice
3913,6.1,0.27,0.31,very_low,0.035,17,83,13.73198663,0.99076,3.32,low,medium,high,Lemon_Juice
3914,8.5,0.17,0.31,very_low,0.024,13,91,18.54995119,0.993,2.79,low,low,low,Lemon_Juice
3915,6.9,0.23,0.38,very_high,0.047,47,162,15.10044506,0.9954,3.34,medium,low,high,Lemon_Juice
3916,6.9,0.33,0.21,very_low,0.053,39,148,14.36202656,0.9927,3.12,low,low,high,Lemon_Juice
3917,6,0.29,0.41,very_high,0.048,55,149,13.79171938,0.9937,3.09,medium,medium,high,Lemon_Juice
3918,5.8,0.385,0.25,low,0.031,38,122,12.72913689,0.99128,3.2,medium,medium,high,Lemon_Juice
3919,6.9,0.28,0.24,low,0.034,49,121,15.34494055,0.98882,2.98,low,high,high,Lemon_Juice
3920,6.3,0.18,0.22,very_low,0.043,45,155,13.55238115,0.99238,3.19,low,low,low,Lemon_Juice
3921,9.5,0.39,0.41,very_high,0.069,18,39,,0.99859,3.29,medium,medium,high,
3922,7.3,,0.03,very_low,0.072,17,42,15.6366585,0.9956,3.37,low,very_low,low,Orange_Juice
3923,8,0.23,0.37,very_high,0.054,23,159,18.03499793,0.99795,3.32,low,low,,Lemon_Juice
3924,6.3,0.34,0.31,medium,0.02,,68,13.63102279,0.98981,3.22,low,high,high,Lemon_Juice
3925,6.8,0.34,0.27,medium,0.06,14,169,15.34701788,0.99252,3.27,medium,medium,high,Lemon_Juice
3926,7,0.48,0.12,medium,0.05,23,86,15.20780253,0.99398,,low,very_low,low,Lemon_Juice
3927,8.2,0.17,0.32,very_low,0.05,17,,17.62942826,0.994,3.14,medium,low,low,Lemon_Juice
3928,5.7,0.32,0.38,medium,0.033,23,94,13.23384726,0.991,3.42,low,medium,high,Lemon_Juice
3929,7.3,0.3,0.25,low,0.045,32,122,15.83959681,0.99329,3.18,medium,low,low,Lemon_Juice
3930,8,0.27,0.24,very_low,0.044,20,102,17.00647293,0.9929,3.28,low,medium,low,Lemon_Juice
3931,8.5,0.17,0.74,low,0.05,29,128,19.76461955,0.9928,3.28,low,high,high,Lemon_Juice
3932,6.9,0.29,0.23,very_high,0.056,56,215,15.71713217,0.9967,3.17,low,very_low,low,Lemon_Juice
3933,6.1,0.21,,very_low,0.066,40.5,165,13.77770679,0.9912,3.25,medium,medium,high,Orange_Juice
3934,8.9,0.48,0.53,low,0.101,3,10,20.02719881,0.99586,3.21,medium,medium,high,
3935,7.3,0.24,0.43,very_low,0.021,20,69,16.38131302,0.99,3.08,medium,high,high,Lemon_Juice
3936,6.8,0.25,,very_low,0.042,19,189,14.99997489,0.9952,3.46,medium,low,high,Lemon_Juice
3937,8.9,0.32,0.31,very_low,0.088,12,19,19.55094217,0.9957,3.17,medium,low,high,Orange_Juice
3938,,0.25,0.39,very_high,0.038,42,155,16.12234514,0.9999,2.97,low,very_low,high,Lemon_Juice
3939,7,0.21,0.28,very_high,0.045,37,221,14.92679327,0.9954,3.25,medium,low,high,Lemon_Juice
3940,7.5,0.42,0.19,high,0.041,62,150,16.42608007,0.99508,3.23,low,low,high,Lemon_Juice
3941,,0.36,0.32,very_high,0.045,35,135,15.47180412,0.9935,3.09,low,medium,high,Lemon_Juice
3942,7.5,0.61,0.26,very_low,0.073,24,88,16.50991677,0.99612,3.3,medium,low,low,Orange_Juice
3943,9.9,0.35,0.38,very_low,0.058,31,47,21.65278269,0.99676,3.26,medium,low,high,Orange_Juice
3944,7.1,0.44,0.23,,0.035,24,100,15.31503917,,3.15,medium,high,high,Lemon_Juice
3945,7.9,0.765,0,very_low,0.084,9,22,17.0394469,0.99619,3.33,medium,medium,high,Orange_Juice
3946,7.3,0.19,0.49,very_high,0.058,50,134,16.55090864,0.9998,3.42,low,,,Lemon_Juice
3947,6.8,0.63,0.07,low,0.089,11,44,15.09616944,0.9953,3.47,medium,low,high,Orange_Juice
3948,6.4,0.27,0.32,medium,0.24,61,174,14.39575369,0.9948,3.12,low,low,low,Lemon_Juice
3949,5.4,0.15,0.32,low,0.037,10,51,12.0147457,0.98878,3.04,medium,high,high,Lemon_Juice
3950,6.8,0.31,,very_high,0.043,30,165,14.73566837,0.9972,3.36,medium,low,high,Lemon_Juice
3951,5.5,0.32,0.45,medium,0.028,25,191,13.07125172,0.9922,3.51,low,medium,high,Lemon_Juice
3952,10.3,0.5,0.42,,0.069,21,51,22.89949667,0.9982,3.16,medium,medium,high,Orange_Juice
3953,7,0.23,0.33,medium,0.04,25,136,15.55544714,0.995,3.19,medium,low,,Lemon_Juice
3954,,0.23,0.29,very_low,0.047,47,187,17.62643579,0.9933,3.13,low,low,high,Lemon_Juice
3955,7.6,0.3,,low,0.054,29,175,16.93937305,0.99445,3.19,medium,low,low,Lemon_Juice
3956,5.9,0.32,0.2,very_high,0.05,29,144,13.2821547,0.99666,3.24,low,low,high,Lemon_Juice
3957,7.8,0.28,0.34,very_low,0.028,32,118,17.67686877,0.9901,3,low,medium,high,
3958,6.8,,0.26,very_low,,23.5,72,15.06575842,0.99041,3.16,low,medium,high,Lemon_Juice
3959,6.2,0.44,0.18,high,0.096,28,210,13.47277819,0.99771,3.56,medium,very_low,low,Lemon_Juice
3960,6.7,0.24,0.41,very_high,0.04,49,166,15.24371477,0.9954,3.12,medium,low,high,Lemon_Juice
3961,6.7,0.3,0.44,very_high,0.057,65,224,,0.99956,3.11,medium,very_low,low,Lemon_Juice
3962,7.2,0.25,0.28,,0.055,55,205,16.20186885,0.9986,3.12,low,very_low,high,Lemon_Juice
3963,,0.2,0.34,very_low,0.035,40,86,13.54469066,0.98993,3.5,low,medium,low,Lemon_Juice
3964,7.8,0.26,,low,0.027,28,87,17.65548203,0.9919,3.03,low,medium,high,Lemon_Juice
3965,6.5,0.25,0.32,very_high,0.045,41,128,14.22453409,0.99636,3.18,medium,low,high,Lemon_Juice
3966,7,0.32,0.24,high,0.048,31,228,14.89058541,0.9957,3.23,medium,low,high,Lemon_Juice
3967,7.6,0.39,,low,0.036,19,113,16.53376246,0.9926,3.03,low,low,low,Lemon_Juice
3968,6.2,0.41,0.22,very_low,0.023,5,56,13.45744636,0.98928,3.04,medium,,high,Lemon_Juice
3969,5.8,0.26,0.29,very_low,0.042,35,101,12.68316687,0.99044,3.36,low,medium,high,Lemon_Juice
3970,7,0.16,0.32,very_low,0.032,29,80,15.78496516,0.98972,3.23,low,medium,high,Lemon_Juice
3971,7.6,0.39,0.32,low,0.035,22,93,16.82962104,0.99144,3.08,medium,,high,Lemon_Juice
3972,7.6,0.27,0.32,very_low,0.043,23,72,16.90668343,0.99236,3.06,medium,low,low,Lemon_Juice
3973,6.9,0.25,0.47,very_high,0.042,36,156,15.83411244,,3.15,medium,low,high,Lemon_Juice
3974,6.2,0.1,0.41,very_low,,,76,14.42435929,0.98988,3.14,medium,,high,Lemon_Juice
3975,6.9,0.84,0.21,medium,0.074,16,65,15.55731077,0.99842,3.53,medium,very_low,high,Orange_Juice
3976,7.3,0.3,0.42,high,0.025,51,175,16.3928558,0.9928,3.04,low,medium,high,Lemon_Juice
3977,6.5,0.22,0.45,high,0.053,52,196,15.00191185,0.9959,3.23,low,very_low,high,Lemon_Juice
3978,9.1,0.5,0.3,very_low,0.065,8,17,19.77480342,0.99774,3.32,medium,low,high,Orange_Juice
3979,9.6,0.6,0.5,low,0.079,28,71,21.46741863,0.9997,,medium,low,low,Orange_Juice
3980,7.7,0.41,0.76,very_low,0.611,8,45,18.29256962,0.9968,3.06,high,low,low,Orange_Juice
3981,7.9,0.35,0.24,very_high,,44,229,17.75896487,0.99785,3.03,medium,low,high,Lemon_Juice
3982,6.8,,0.38,medium,0.04,27,103,15.23625404,0.994,3.37,medium,low,high,Lemon_Juice
3983,6.6,0.18,0.28,low,0.044,18,91,,0.993,3.42,medium,medium,high,Lemon_Juice
3984,5.6,0.18,0.29,low,0.04,5,47,12.55091935,0.99126,3.07,low,low,,Lemon_Juice
3985,9.1,0.25,0.34,very_low,0.071,45,67,20.51024487,0.99769,3.44,medium,low,high,Orange_Juice
3986,6.8,0.33,0.31,high,0.045,34,143,15.21602219,0.99226,3.06,medium,high,high,Lemon_Juice
3987,7,0.43,0.36,very_low,0.089,14,37,15.86328493,0.99615,3.34,medium,very_low,high,Orange_Juice
3988,8.4,0.56,0.08,low,0.105,16,44,17.53132377,0.9958,3.13,medium,medium,low,Orange_Juice
3989,6,0.33,0.27,very_low,0.185,12,188,13.05291583,,3.12,medium,low,,Lemon_Juice
3990,8.8,0.39,0.34,medium,0.055,33,128,19.303021,0.9927,2.95,medium,medium,high,Lemon_Juice
3991,7.1,,0.4,very_low,0.034,13,84,16.39353527,0.9944,3.42,medium,low,low,Lemon_Juice
3992,7,0.24,0.3,high,0.039,37,125,15.46768252,0.99436,3.2,low,low,low,Lemon_Juice
3993,14.2,0.27,0.49,very_low,0.037,,156,30.79640993,0.992,3.15,medium,medium,high,Lemon_Juice
3994,8.5,0.37,0.2,low,0.09,18,58,18.17750646,0.998,3.34,medium,low,high,Orange_Juice
3995,6.9,0.29,0.23,very_high,,56,215,15.02695835,0.9967,3.17,low,very_low,low,Lemon_Juice
3996,8.1,0.31,0.24,very_low,0.032,10,,18.04747366,0.9924,3.08,low,low,low,Lemon_Juice
3997,7.1,0.27,,very_high,0.046,55,252,,1,3.07,medium,very_low,low,Lemon_Juice
3998,7.3,0.305,0.39,very_low,0.059,7,11,16.4011555,0.99331,3.29,medium,medium,high,Orange_Juice
3999,7.3,0.27,0.39,high,0.064,28,188,16.55517156,0.9958,3.29,low,,low,Lemon_Juice
4000,7,0.16,,high,0.047,30,220,15.36789701,0.99622,,medium,low,high,Lemon_Juice
4001,6.2,0.3,0.49,very_high,0.058,68,215,14.11551031,,3.19,medium,low,,Lemon_Juice
4002,7.1,0.25,0.39,low,0.036,30,124,15.72396901,0.9908,3.28,low,high,high,Lemon_Juice
4003,6.1,0.25,0.48,very_high,0.052,25,94,14.41164766,0.99782,3.07,low,very_low,,Lemon_Juice
4004,5.8,0.54,0,very_low,0.033,40,107,12.48423096,0.98918,3.26,low,high,low,
4005,7.4,0.38,0.34,very_high,0.052,,168,16.54789182,0.99627,3.11,,,low,Lemon_Juice
4006,6.6,0.26,0.25,very_high,0.045,45,178,14.739295,0.99691,,low,low,high,Lemon_Juice
4007,6.3,,0.26,very_high,0.049,63,170,14.140685,0.9961,3.14,medium,low,high,Lemon_Juice
4008,5.8,0.23,0.21,very_low,0.044,21,110,12.41175083,0.99138,3.3,medium,medium,high,Lemon_Juice
4009,8.3,0.3,0.49,low,0.09,11,24,18.68250962,0.99498,3.27,medium,,high,Orange_Juice
4010,7.8,0.3,0.37,very_low,0.051,16,96,17.46183239,0.9941,3.32,medium,low,low,Lemon_Juice
4011,6,0.41,0.21,very_low,0.05,29,122,12.85760698,0.9928,3.42,medium,low,high,Lemon_Juice
4012,6.4,0.25,0.57,very_low,0.062,21,122,15.13449208,0.99238,3,low,low,low,Lemon_Juice
4013,7.5,0.26,0.31,very_low,0.032,36,109,,0.99044,2.97,low,medium,high,Lemon_Juice
4014,,0.27,0.32,very_low,0.046,20,155,13.72377641,0.9934,3.8,low,low,high,Lemon_Juice
4015,6.3,,0.19,very_high,0.048,54,145,13.12154146,0.99668,3.16,low,very_low,high,Lemon_Juice
4016,6.7,0.25,0.31,very_low,0.061,30.5,218,14.44286974,,,medium,low,low,Lemon_Juice
4017,6.9,0.41,0.33,very_high,0.043,28,152,15.59526969,0.9968,3.2,,low,low,Lemon_Juice
4018,9.2,0.67,0.1,low,0.091,12,48,19.43594088,0.99888,3.31,medium,low,high,Orange_Juice
4019,7,0.16,0.36,low,,,98,15.26375092,0.99126,3.11,low,medium,high,Lemon_Juice
4020,9.7,0.42,0.46,low,0.074,5,16,21.55805241,0.99649,3.27,medium,high,high,Orange_Juice
4021,8.6,0.26,0.41,low,0.049,29,111,19.25997737,0.9941,,low,low,low,Lemon_Juice
4022,6.3,0.33,0.42,very_high,0.037,57,170,13.82045379,0.99884,3.26,medium,low,high,Lemon_Juice
4023,6.9,0.56,0.26,very_high,0.06,55,193,15.06874887,0.9969,3.21,low,low,low,Lemon_Juice
4024,7.8,0.63,0.48,very_low,0.1,14,96,17.93195312,0.9961,3.19,medium,low,low,Orange_Juice
4025,11.8,0.38,0.55,low,0.071,5,19,26.78112303,0.9986,3.11,medium,medium,high,Orange_Juice
4026,7.1,0.36,0.3,very_low,0.08,35,70,15.87505483,0.99693,3.44,low,low,low,Orange_Juice
4027,,0.59,,very_low,0.063,34,53,14.89067418,0.9958,3.41,medium,low,low,Orange_Juice
4028,6.2,0.23,0.36,very_high,0.039,37,,13.89036456,0.99946,3.23,low,very_low,high,Lemon_Juice
4029,5.8,0.32,0.31,low,0.049,,153,12.63715083,0.99067,3.44,,high,high,Lemon_Juice
4030,7.4,0.25,0.37,very_high,0.06,52,192,16.95104726,0.9975,3,low,very_low,low,Lemon_Juice
4031,7.1,0.84,0.02,medium,0.096,5,13,14.88371767,0.997,3.41,medium,medium,low,Orange_Juice
4032,7.2,0.31,0.5,very_high,0.056,68,195,16.28222612,0.9982,3.01,low,very_low,low,Lemon_Juice
4033,8.3,0.26,0.42,,0.08,11,27,18.65055872,0.9974,3.21,medium,low,high,Orange_Juice
4034,6.8,0.91,0.06,very_low,0.06,4,11,14.69930821,0.99592,,medium,medium,low,Orange_Juice
4035,6.3,0.27,0.23,low,0.047,13,100,13.9412968,0.9936,3.28,,low,low,Lemon_Juice
4036,7.9,0.44,0.37,medium,0.033,27,93,17.42264442,0.992,3.16,medium,high,high,Lemon_Juice
4037,6.2,,0.34,very_low,0.036,4,,14.27090961,0.99032,3.4,low,high,low,Lemon_Juice
4038,6.5,0.19,0.28,,0.046,22,90,14.4887581,0.99038,3.18,medium,medium,high,Lemon_Juice
4039,6.2,0.65,0.06,very_low,0.05,6,18,13.95872671,0.99348,3.57,medium,medium,low,Orange_Juice
4040,6.7,0.31,0.18,high,0.043,57,200,14.36057486,0.99566,3.17,low,,,Lemon_Juice
4041,6.5,0.27,0.26,very_high,0.042,21,133,14.3376253,0.99612,3.43,medium,low,,Lemon_Juice
4042,6.4,0.38,0.19,medium,0.038,36,,13.88198493,0.99151,3.07,low,medium,high,Lemon_Juice
4043,7.8,0.3,0.4,very_low,0.028,23,122,17.5122968,0.9914,3.14,low,medium,high,Lemon_Juice
